项目,员工,日期,工时
fefe,阿斯顿福,2026-01-14,8
fefe,阿斯顿福,2026-01-15,8
fefe,阿斯顿福,2026-01-16,8
fefe,阿斯顿福,2026-01-19,8
fefe,阿斯顿福,2026-01-20,8
fefe,阿斯顿福,2026-01-21,8
fefe,阿斯顿福,2026-01-22,8
fefe,阿斯顿福,2026-01-23,8
fefe,阿斯顿福,2026-01-26,8
fefe,阿斯顿福,2026-01-27,8
fefe,阿斯顿福,2026-01-28,8
fefe,阿斯顿福,2026-01-29,8
fefe,阿斯顿福,2026-01-30,8
fefe,阿斯顿福,2026-02-02,8
fefe,阿斯顿福,2026-02-03,8
fefe,阿斯顿福,2026-02-04,8
fefe,阿斯顿福,2026-02-05,8
fefe,阿斯顿福,2026-02-06,8
fefe,阿斯顿福,2026-02-09,8
fefe,阿斯顿福,2026-02-10,8
fefe,阿斯顿福,2026-02-11,8
fefe,阿斯顿福,2026-02-12,8
fefe,阿斯顿福,2026-02-13,8
fefe,阿斯顿福,2026-02-16,8
fefe,阿斯顿福,2026-02-17,8
fefe,阿斯顿福,2026-02-18,8
fefe,阿斯顿福,2026-02-19,8
fefe,阿斯顿福,2026-02-20,8
fefe,阿斯顿福,2026-02-23,8
fefe,阿斯顿福,2026-02-24,8
fefe,阿斯顿福,2026-02-25,8
fefe,阿斯顿福,2026-02-26,8
fefe,阿斯顿福,2026-02-27,8
fefe,阿斯顿福,2026-03-02,8
fefe,阿斯顿福,2026-03-03,8
fefe,阿斯顿福,2026-03-04,8
fefe,阿斯顿福,2026-03-05,8
fefe,阿斯顿福,2026-03-06,8
fefe,阿斯顿福,2026-03-09,8
fefe,阿斯顿福,2026-03-10,8
fefe,阿斯顿福,2026-03-11,8
fefe,阿斯顿福,2026-03-12,8
fefe,阿斯顿福,2026-03-13,8
fefe,阿斯顿福,2026-03-16,8
fefe,阿斯顿福,2026-03-17,8
fefe,阿斯顿福,2026-03-18,8
fefe,阿斯顿福,2026-03-19,8
fefe,阿斯顿福,2026-03-20,8
fefe,阿斯顿福,2026-03-23,8
fefe,阿斯顿福,2026-03-24,8
fefe,阿斯顿福,2026-03-25,8
fefe,阿斯顿福,2026-03-26,8
fefe,阿斯顿福,2026-03-27,8
fefe,阿斯顿福,2026-03-30,8
fefe,阿斯顿福,2026-03-31,8
fefe,阿斯顿福,2026-04-01,8
fefe,阿斯顿福,2026-04-02,8
fefe,阿斯顿福,2026-04-03,8
fefe,阿斯顿福,2026-04-06,8
fefe,阿斯顿福,2026-04-07,8
fefe,阿斯顿福,2026-04-08,8
fefe,阿斯顿福,2026-04-09,8
fefe,阿斯顿福,2026-04-10,8
fefe,阿斯顿福,2026-04-13,8
fefe,阿斯顿福,2026-04-14,8
fefe,阿斯顿福,2026-04-15,8
fefe,阿斯顿福,2026-04-16,8
fefe,阿斯顿福,2026-04-17,8
fefe,阿斯顿福,2026-04-20,8
fefe,阿斯顿福,2026-04-21,8
fefe,阿斯顿福,2026-04-22,8
fefe,阿斯顿福,2026-04-23,8
fefe,阿斯顿福,2026-04-24,8
fefe,阿斯顿福,2026-04-27,8
fefe,阿斯顿福,2026-04-28,8
fefe,阿斯顿福,2026-04-29,8
fefe,阿斯顿福,2026-04-30,8
fefe,阿斯顿福,2026-05-01,8
fefe,阿斯顿福,2026-05-04,8
fefe,阿斯顿福,2026-05-05,8
fefe,阿斯顿福,2026-05-06,8
fefe,阿斯顿福,2026-05-07,8
fefe,阿斯顿福,2026-05-08,8
fefe,阿斯顿福,2026-05-11,8
fefe,阿斯顿福,2026-05-12,8
fefe,阿斯顿福,2026-05-13,8
fefe,阿斯顿福,2026-05-14,8
fefe,阿斯顿福,2026-05-15,8
fefe,阿斯顿福,2026-05-18,8
fefe,阿斯顿福,2026-05-19,8
fefe,阿斯顿福,2026-05-20,8
fefe,阿斯顿福,2026-05-21,8
fefe,阿斯顿福,2026-05-22,8
fefe,阿斯顿福,2026-05-25,8
fefe,阿斯顿福,2026-05-26,8
fefe,阿斯顿福,2026-05-27,8
fefe,阿斯顿福,2026-05-28,8
fefe,阿斯顿福,2026-05-29,8
fefe,阿斯顿福,2026-06-01,8
fefe,阿斯顿福,2026-06-02,8
fefe,阿斯顿福,2026-06-03,8
fefe,阿斯顿福,2026-06-04,8
fefe,阿斯顿福,2026-06-05,8
fefe,阿斯顿福,2026-06-08,8
fefe,阿斯顿福,2026-06-09,8
fefe,阿斯顿福,2026-06-10,8
fefe,阿斯顿福,2026-06-11,8
fefe,阿斯顿福,2026-06-12,8
fefe,阿斯顿福,2026-06-15,8
fefe,阿斯顿福,2026-06-16,8
fefe,阿斯顿福,2026-06-17,8
fefe,阿斯顿福,2026-06-18,8
fefe,阿斯顿福,2026-06-19,8
fefe,阿斯顿福,2026-06-22,8
fefe,阿斯顿福,2026-06-23,8
fefe,阿斯顿福,2026-06-24,8
fefe,阿斯顿福,2026-06-25,8
fefe,阿斯顿福,2026-06-26,8
fefe,阿斯顿福,2026-06-29,8
fefe,阿斯顿福,2026-06-30,8
fefe,asdfasdf,2026-01-01,3
fefe,asdfasdf,2026-01-02,3
fefe,asdfasdf,2026-01-05,3
fefe,asdfasdf,2026-01-06,3
fefe,asdfasdf,2026-01-07,3
fefe,asdfasdf,2026-01-08,3
fefe,asdfasdf,2026-01-09,3
fefe,asdfasdf,2026-01-12,3
fefe,asdfasdf,2026-01-13,3
fefe,asdfasdf,2026-01-14,3
fefe,asdfasdf,2026-01-15,3
fefe,asdfasdf,2026-01-16,3
fefe,asdfasdf,2026-01-19,3
fefe,asdfasdf,2026-01-20,3
fefe,asdfasdf,2026-01-21,3
fefe,asdfasdf,2026-01-22,3
fefe,asdfasdf,2026-01-23,3
fefe,asdfasdf,2026-01-26,3
fefe,asdfasdf,2026-01-27,3
fefe,asdfasdf,2026-01-28,3
fefe,asdfasdf,2026-01-29,3
fefe,asdfasdf,2026-01-30,3
fefe,asdfasdf,2026-02-02,3
fefe,asdfasdf,2026-02-03,3
fefe,asdfasdf,2026-02-04,3
fefe,asdfasdf,2026-02-05,3
fefe,asdfasdf,2026-02-06,3
fefe,asdfasdf,2026-02-09,3
fefe,asdfasdf,2026-02-10,3
fefe,asdfasdf,2026-02-11,3
fefe,asdfasdf,2026-02-12,3
fefe,asdfasdf,2026-02-13,3
fefe,asdfasdf,2026-02-16,3
fefe,asdfasdf,2026-02-17,3
fefe,asdfasdf,2026-02-18,3
fefe,asdfasdf,2026-02-19,3
fefe,asdfasdf,2026-02-20,3
fefe,asdfasdf,2026-02-23,3
fefe,asdfasdf,2026-02-24,3
fefe,asdfasdf,2026-02-25,3
fefe,asdfasdf,2026-02-26,3
fefe,asdfasdf,2026-02-27,3
fefe,asdfasdf,2026-03-02,3
fefe,asdfasdf,2026-03-03,3
fefe,asdfasdf,2026-03-04,3
fefe,asdfasdf,2026-03-05,3
fefe,asdfasdf,2026-03-06,3
fefe,asdfasdf,2026-03-09,3
fefe,asdfasdf,2026-03-10,3
fefe,asdfasdf,2026-03-11,3
fefe,asdfasdf,2026-03-12,3
fefe,asdfasdf,2026-03-13,3
fefe,asdfasdf,2026-03-16,3
fefe,asdfasdf,2026-03-17,3
fefe,asdfasdf,2026-03-18,3
fefe,asdfasdf,2026-03-19,3
fefe,asdfasdf,2026-03-20,3
fefe,asdfasdf,2026-03-23,3
fefe,asdfasdf,2026-03-24,3
fefe,asdfasdf,2026-03-25,3
fefe,asdfasdf,2026-03-26,3
fefe,asdfasdf,2026-03-27,3
fefe,asdfasdf,2026-03-30,3
fefe,asdfasdf,2026-03-31,3
fefe,asdfasdf,2026-04-01,3
fefe,asdfasdf,2026-04-02,3
fefe,asdfasdf,2026-04-03,3
fefe,asdfasdf,2026-04-06,3
fefe,asdfasdf,2026-04-07,3
fefe,asdfasdf,2026-04-08,3
fefe,asdfasdf,2026-04-09,3
fefe,asdfasdf,2026-04-10,3
fefe,asdfasdf,2026-04-13,3
fefe,asdfasdf,2026-04-14,3
fefe,asdfasdf,2026-04-15,3
fefe,asdfasdf,2026-04-16,3
fefe,asdfasdf,2026-04-17,3
fefe,asdfasdf,2026-04-20,3
fefe,asdfasdf,2026-04-21,3
fefe,asdfasdf,2026-04-22,3
fefe,asdfasdf,2026-04-23,3
fefe,asdfasdf,2026-04-24,3
fefe,asdfasdf,2026-04-27,3
fefe,asdfasdf,2026-04-28,3
fefe,asdfasdf,2026-04-29,3
fefe,asdfasdf,2026-04-30,3
fefe,asdfasdf,2026-05-01,3
fefe,asdfasdf,2026-05-04,3
fefe,asdfasdf,2026-05-05,3
fefe,asdfasdf,2026-05-06,3
fefe,asdfasdf,2026-05-07,3
fefe,asdfasdf,2026-05-08,3
fefe,asdfasdf,2026-05-11,3
fefe,asdfasdf,2026-05-12,3
fefe,asdfasdf,2026-05-13,3
fefe,asdfasdf,2026-05-14,3
fefe,asdfasdf,2026-05-15,3
fefe,asdfasdf,2026-05-18,3
fefe,asdfasdf,2026-05-19,3
fefe,asdfasdf,2026-05-20,3
fefe,asdfasdf,2026-05-21,3
fefe,asdfasdf,2026-05-22,3
fefe,asdfasdf,2026-05-25,3
fefe,asdfasdf,2026-05-26,3
fefe,asdfasdf,2026-05-27,3
fefe,asdfasdf,2026-05-28,3
fefe,asdfasdf,2026-05-29,3
fefe,asdfasdf,2026-06-01,4
fefe,asdfasdf,2026-06-02,4
fefe,asdfasdf,2026-06-03,4
fefe,asdfasdf,2026-06-04,4
fefe,asdfasdf,2026-06-05,4
fefe,asdfasdf,2026-06-08,4
fefe,asdfasdf,2026-06-09,4
fefe,asdfasdf,2026-06-10,4
fefe,asdfasdf,2026-06-11,4
fefe,asdfasdf,2026-06-12,4
fefe,asdfasdf,2026-06-15,4
fefe,asdfasdf,2026-06-16,4
fefe,asdfasdf,2026-06-17,4
fefe,asdfasdf,2026-06-18,4
fefe,asdfasdf,2026-06-19,4
fefe,asdfasdf,2026-06-22,4
fefe,asdfasdf,2026-06-23,4
fefe,asdfasdf,2026-06-24,4
fefe,asdfasdf,2026-06-25,4
fefe,asdfasdf,2026-06-26,4
fefe,asdfasdf,2026-06-29,5
fefe,asdfasdf,2026-06-30,6
